zip_code,lat,lon,city,state,county,type,state_full
75486,33.745236,-95.744328,SUMNER,TX,LAMAR,STANDARD,Texas
75487,33.334851,-95.161501,TALCO,TX,FRANKLIN,STANDARD,Texas
75488,33.778765,-95.996779,TELEPHONE,TX,FANNIN,STANDARD,Texas
75489,33.519252,-96.484325,TOM BEAN,TX,GRAYSON,PO BOX ONLY,Texas
75490,33.438031,-96.308283,TRENTON,TX,FANNIN,STANDARD,Texas
75491,33.486324,-96.395928,WHITEWRIGHT,TX,GRAYSON,STANDARD,Texas
75492,33.584371,-95.993541,WINDOM,TX,FANNIN,STANDARD,Texas
75493,33.146017,-95.107953,WINFIELD,TX,TITUS,PO BOX ONLY,Texas
75494,32.917192,-95.259863,WINNSBORO,TX,WOOD,STANDARD,Texas
75495,33.439196,-96.546841,VAN ALSTYNE,TX,GRAYSON,STANDARD,Texas
75496,33.349614,-96.057936,WOLFE CITY,TX,HUNT,STANDARD,Texas
75497,32.924729,-95.568157,YANTIS,TX,WOOD,STANDARD,Texas
75501,33.371830,-94.139814,TEXARKANA,TX,BOWIE,STANDARD,Texas
75503,33.511784,-94.133886,TEXARKANA,TX,BOWIE,STANDARD,Texas
75504,33.440002,-94.070003,TEXARKANA,TX,BOWIE,STANDARD,Texas
75505,33.440002,-94.070003,TEXARKANA,TX,BOWIE,STANDARD,Texas
75507,33.440002,-94.070003,TEXARKANA,TX,BOWIE,UNIQUE,Texas
75550,33.498222,-94.890848,ANNONA,TX,RED RIVER,STANDARD,Texas
75551,33.119331,-94.220493,ATLANTA,TX,CASS,STANDARD,Texas
75554,33.553516,-94.780261,AVERY,TX,RED RIVER,STANDARD,Texas
75555,32.939199,-94.142287,BIVINS,TX,CASS,STANDARD,Texas
75556,33.154790,-94.062408,BLOOMBURG,TX,CASS,STANDARD,Texas
75558,33.241960,-94.857845,COOKVILLE,TX,TITUS,STANDARD,Texas
75559,33.503693,-94.627360,DE KALB,TX,BOWIE,STANDARD,Texas
75560,33.185034,-94.363933,DOUGLASSVILLE,TX,CASS,STANDARD,Texas
75561,33.516756,-94.281561,HOOKS,TX,BOWIE,STANDARD,Texas
75562,32.925398,-94.248448,KILDARE,TX,CASS,PO BOX ONLY,Texas
75563,33.002695,-94.383454,LINDEN,TX,CASS,STANDARD,Texas
75564,32.859999,-94.300003,LODI,TX,MARION,PO BOX ONLY,Texas
75565,32.926795,-94.071478,MC LEOD,TX,CASS,PO BOX ONLY,Texas
75566,33.148175,-94.491747,MARIETTA,TX,CASS,STANDARD,Texas
